image,label,score,x1,y1,x2,y2,source_prompt,detection_summary,llm_prompt,generated_question_flan_base,generated_question_flan_large,generated_question_llama70b,generated_question_llama8b
image_43_jpg.rf.d86619e766120e5aaf0f8d07c9dd2cda.jpg,kettle,0.2390729039907455,362.04241943359375,210.689697265625,597.9957275390625,578.5204467773438,baseline,Image file: image_43_jpg.rf.d86619e766120e5aaf0f8d07c9dd2cda.jpg. Detected amenity: kettle. Detection confidence: low (0.24). Source prompt type: baseline.,"You are generating hotel-amenity questions for guests browsing accommodation photos. Given the detection summary below, generate a hotel-amenity related question that a guest may ask while browsing accommodation images. Keep the question short, factual, and neutral. Detection summary: Image file: image_43_jpg.rf.d86619e766120e5aaf0f8d07c9dd2cda.jpg. Detected amenity: kettle. Detection confidence: low (0.24). Source prompt type: baseline. Question:",What type of amenity does the image show?,What type of amenity is the kettle?,Does the room come with a kettle?,Is there a kettle available in the room?
image_32_jpg.rf.72892be5071cc65196cb5bbb38bc4512.jpg,kettle,0.1258058995008468,365.0921630859375,191.31483459472656,491.9512939453125,441.6641845703125,baseline,Image file: image_32_jpg.rf.72892be5071cc65196cb5bbb38bc4512.jpg. Detected amenity: kettle. Detection confidence: low (0.13). Source prompt type: baseline.,"You are generating hotel-amenity questions for guests browsing accommodation photos. Given the detection summary below, generate a hotel-amenity related question that a guest may ask while browsing accommodation images. Keep the question short, factual, and neutral. Detection summary: Image file: image_32_jpg.rf.72892be5071cc65196cb5bbb38bc4512.jpg. Detected amenity: kettle. Detection confidence: low (0.13). Source prompt type: baseline. Question:",What type of amenity does the image show?,What type of amenity is the kettle?,Does the room come with a kettle?,Is a kettle available in the room?
image_75_jpg.rf.45f7e828d7f28c0f0b9ba53230fa6605.jpg,kettle,0.1552952378988266,475.8460083007813,219.682373046875,515.93017578125,249.13015747070312,baseline,Image file: image_75_jpg.rf.45f7e828d7f28c0f0b9ba53230fa6605.jpg. Detected amenity: kettle. Detection confidence: low (0.16). Source prompt type: baseline.,"You are generating hotel-amenity questions for guests browsing accommodation photos. Given the detection summary below, generate a hotel-amenity related question that a guest may ask while browsing accommodation images. Keep the question short, factual, and neutral. Detection summary: Image file: image_75_jpg.rf.45f7e828d7f28c0f0b9ba53230fa6605.jpg. Detected amenity: kettle. Detection confidence: low (0.16). Source prompt type: baseline. Question:",What type of amenity does the image show?,What type of amenity is the kettle?,Does the room come with a kettle?,Is a kettle available in the room?
image_75_jpg.rf.45f7e828d7f28c0f0b9ba53230fa6605.jpg,kettle,0.2892077267169952,538.365478515625,347.4501953125,589.0572509765625,423.8499450683594,baseline,Image file: image_75_jpg.rf.45f7e828d7f28c0f0b9ba53230fa6605.jpg. Detected amenity: kettle. Detection confidence: low (0.29). Source prompt type: baseline.,"You are generating hotel-amenity questions for guests browsing accommodation photos. Given the detection summary below, generate a hotel-amenity related question that a guest may ask while browsing accommodation images. Keep the question short, factual, and neutral. Detection summary: Image file: image_75_jpg.rf.45f7e828d7f28c0f0b9ba53230fa6605.jpg. Detected amenity: kettle. Detection confidence: low (0.29). Source prompt type: baseline. Question:",What type of amenity does the image show?,What type of amenity is the kettle?,Does the room come with a kettle?,Is a kettle provided in the room?
image_22_jpg.rf.4497b908c343c60f1d27b666dd8d5af4.jpg,kettle,0.1899551153182983,403.80670166015625,217.53114318847656,633.5526123046875,416.93353271484375,baseline,Image file: image_22_jpg.rf.4497b908c343c60f1d27b666dd8d5af4.jpg. Detected amenity: kettle. Detection confidence: low (0.19). Source prompt type: baseline.,"You are generating hotel-amenity questions for guests browsing accommodation photos. Given the detection summary below, generate a hotel-amenity related question that a guest may ask while browsing accommodation images. Keep the question short, factual, and neutral. Detection summary: Image file: image_22_jpg.rf.4497b908c343c60f1d27b666dd8d5af4.jpg. Detected amenity: kettle. Detection confidence: low (0.19). Source prompt type: baseline. Question:",What type of amenity does the image show?,What type of amenity is the kettle?,Does the room come with a kettle?,Is a kettle provided in the room?
image_82_jpg.rf.d68900600c60c929f312d4a9fa54a87c.jpg,kettle,0.1105642318725586,203.17559814453125,27.667598724365234,430.8992004394531,522.4929809570312,baseline,Image file: image_82_jpg.rf.d68900600c60c929f312d4a9fa54a87c.jpg. Detected amenity: kettle. Detection confidence: low (0.11). Source prompt type: baseline.,"You are generating hotel-amenity questions for guests browsing accommodation photos. Given the detection summary below, generate a hotel-amenity related question that a guest may ask while browsing accommodation images. Keep the question short, factual, and neutral. Detection summary: Image file: image_82_jpg.rf.d68900600c60c929f312d4a9fa54a87c.jpg. Detected amenity: kettle. Detection confidence: low (0.11). Source prompt type: baseline. Question:",What type of amenity does the image show?,What type of amenity is the kettle?,Is there a kettle in the room?,Is a kettle provided in the room?
image_82_jpg.rf.d68900600c60c929f312d4a9fa54a87c.jpg,kettle,0.2217422276735305,204.4579315185547,194.17105102539065,426.37841796875,522.8888549804688,baseline,Image file: image_82_jpg.rf.d68900600c60c929f312d4a9fa54a87c.jpg. Detected amenity: kettle. Detection confidence: low (0.22). Source prompt type: baseline.,"You are generating hotel-amenity questions for guests browsing accommodation photos. Given the detection summary below, generate a hotel-amenity related question that a guest may ask while browsing accommodation images. Keep the question short, factual, and neutral. Detection summary: Image file: image_82_jpg.rf.d68900600c60c929f312d4a9fa54a87c.jpg. Detected amenity: kettle. Detection confidence: low (0.22). Source prompt type: baseline. Question:",What type of amenity does the image show?,What type of amenity is the kettle?,Does the room come with a kettle?,Is a kettle provided in the room?
image_79_jpg.rf.49ac0f635481617ccf8fb1ce9e5b47cf.jpg,kettle,0.2704133689403534,98.72699737548828,309.6196594238281,141.0452423095703,353.04010009765625,baseline,Image file: image_79_jpg.rf.49ac0f635481617ccf8fb1ce9e5b47cf.jpg. Detected amenity: kettle. Detection confidence: low (0.27). Source prompt type: baseline.,"You are generating hotel-amenity questions for guests browsing accommodation photos. Given the detection summary below, generate a hotel-amenity related question that a guest may ask while browsing accommodation images. Keep the question short, factual, and neutral. Detection summary: Image file: image_79_jpg.rf.49ac0f635481617ccf8fb1ce9e5b47cf.jpg. Detected amenity: kettle. Detection confidence: low (0.27). Source prompt type: baseline. Question:",What type of amenity does the image show?,What is the name of the hotel's kettle?,Does the room come with a kettle?,Is a kettle provided in the room?
image_79_jpg.rf.49ac0f635481617ccf8fb1ce9e5b47cf.jpg,kettle,0.2447227388620376,327.4657897949219,316.5482177734375,369.1244812011719,362.0984497070313,baseline,Image file: image_79_jpg.rf.49ac0f635481617ccf8fb1ce9e5b47cf.jpg. Detected amenity: kettle. Detection confidence: low (0.24). Source prompt type: baseline.,"You are generating hotel-amenity questions for guests browsing accommodation photos. Given the detection summary below, generate a hotel-amenity related question that a guest may ask while browsing accommodation images. Keep the question short, factual, and neutral. Detection summary: Image file: image_79_jpg.rf.49ac0f635481617ccf8fb1ce9e5b47cf.jpg. Detected amenity: kettle. Detection confidence: low (0.24). Source prompt type: baseline. Question:",What type of amenity does the image show?,What type of amenity is the kettle?,Does the room come with a kettle?,Is a kettle provided in the room?
image_79_jpg.rf.49ac0f635481617ccf8fb1ce9e5b47cf.jpg,kettle,0.1185784563422203,379.209228515625,333.471435546875,407.43841552734375,361.4791259765625,baseline,Image file: image_79_jpg.rf.49ac0f635481617ccf8fb1ce9e5b47cf.jpg. Detected amenity: kettle. Detection confidence: low (0.12). Source prompt type: baseline.,"You are generating hotel-amenity questions for guests browsing accommodation photos. Given the detection summary below, generate a hotel-amenity related question that a guest may ask while browsing accommodation images. Keep the question short, factual, and neutral. Detection summary: Image file: image_79_jpg.rf.49ac0f635481617ccf8fb1ce9e5b47cf.jpg. Detected amenity: kettle. Detection confidence: low (0.12). Source prompt type: baseline. Question:",What type of amenity does the image show?,What type of amenity is the kettle?,Does the room come with a kettle?,Is a kettle available in the room?
