image,label,score,x1,y1,x2,y2,gemini_3_single_q1,gemini_3_single_q2,gemini_3_single_q3,gemini_3_couple_q1,gemini_3_couple_q2,gemini_3_couple_q3,gemini_3_group_q1,gemini_3_group_q2,gemini_3_group_q3
image_2_jpg.rf.8df448081dde58fa8af07a416bdd84b3.jpg,hairdryer,0.1266508996486663,82.90086364746094,68.41072082519531,532.421875,613.5489501953125,The handle appears to have a hinge; does it fold up compactly to save space on a small bathroom counter?,Is this compact dryer powerful enough to dry my hair quickly before I head out for the day?,"Looking at the cord bundle, is the cable long enough to reach from the outlet to the mirror comfortably?","Since the motor housing looks quite small, is it quiet enough to use without waking my partner in the morning?",Does this dryer have adjustable heat settings to accommodate different hair types for both of us?,"Is it sturdy enough to help us style our hair for a nice dinner, or is it just for basic drying?",Will this small unit overheat if three or four family members need to use it back-to-back?,Is the airflow strong enough to get the whole group ready quickly during the morning rush?,"The body looks lightweight, but does the plastic casing stay cool enough for children to handle safely?"
image_213_jpg.rf.7f391b31c32428bb89678b1648b2fe93.jpg,hairdryer,0.1107390150427818,9.37875747680664,78.19174194335938,646.2325439453125,518.2324829101562,"I see this is an ""ionity"" model; does that feature actually help reduce frizz so I don't need to pack my own styling tools?","Since the handle folds up and it looks travel-sized, is the ""Turbo"" setting powerful enough to dry thick hair quickly?",Is this Panasonic dryer lightweight enough to hold comfortably for a full styling session without my arm getting tired?,"Since we often get ready at different times, is the noise level on the lower ""Set"" mode quiet enough to not wake my partner?",We have very different hair types; do the visible heat settings allow enough control for both delicate and thick hair?,"With two of us needing to use the bathroom, does the cord look long enough to step out and use the dryer near the bedroom mirror?","If our whole family needs to get ready in the morning, does this compact unit overheat when used back-to-back for multiple people?","Is the ""Cold"" shot setting shown on the handle effective enough to cool the dryer down quickly so we can pack it up safely before checking out?","Looking at the cord bundled in the basket, is it long enough to reach a chair or low stool so I can easily dry my child's hair?"
image_3_jpg.rf.b0aa366ebbf555c57aa9d25b11c62508.jpg,hairdryer,0.4496848285198211,78.98811340332031,9.918651580810549,591.8076171875,632.7880859375,I see a seam on the handle; does this dryer fold up so I can easily tuck it away in a drawer and maximize my counter space?,"Since I have a tight schedule, does the ""Turbo"" setting shown on the handle provide enough power to dry my hair quickly?",Is that clear plastic nozzle removable or adjustable for when I need to style my hair precisely?,"Is the ""Normal"" setting quiet enough that I can dry my hair in the morning without waking my partner sleeping in the next room?",Does the cord attached to the hanging loop extend far enough to let me dry my hair near the bedroom mirror while my partner uses the bathroom?,"With the ""Turbo"" mode available, is this dryer efficient enough to get both of us ready for a dinner reservation without overheating?","With a whole family needing to get ready, is this dryer heavy-duty enough to handle back-to-back use without shutting off?",Does the plastic concentrator nozzle at the front get dangerously hot to the touch after multiple people have used it?,Is the drying speed on this compact unit fast enough to keep the bathroom line moving when we have kids with wet hair?
image_113_jpg.rf.8fe60c21b8e1d39aeac00c7caf2ec323.jpg,hairdryer,0.3518679440021515,366.5673522949219,175.99684143066406,576.7930297851562,643.19140625,Is this Salonia dryer powerful enough to dry my hair quickly so I don't waste my limited time getting ready?,"Does the handle fold down as it appears to, allowing me to stash it in a drawer to keep the small vanity clutter-free?",Is that beige storage bag included so I can keep the cord organized and out of the way when I'm not using it?,Is the motor on this compact model quiet enough that I can style my hair without waking my partner in the morning?,Does the sliding switch offer multiple heat settings so we can both adjust it to suit our different hair types?,Is the cord long enough to reach a mirror outside the bathroom so one of us can dry our hair while the other showers?,"Can we use the loop on the cord base to hang the dryer up on a hook, saving precious counter space for everyone's toiletries?",Is this smaller unit robust enough to handle back-to-back use by four people without overheating and shutting off?,Is the matte finish easy to grip and cool to the touch so it is safe for the kids to use on their own?
image_120_jpg.rf.e4b2ddad1fc0c6291c75e29b800c7cb2.jpg,hairdryer,0.2015177458524704,40.22274017333984,7.414264678955078,557.0294189453125,638.7670288085938,"Is this GOCART model powerful enough to dry thick hair quickly, or should I save space in my suitcase and rely on it?",The coiled cord looks quite tight in the photo; does it stretch far enough to comfortably reach the mirror while I'm styling?,"Since it's a fixed wall-mounted unit, does it have adjustable heat settings, or is it just a?","Is this wall-mounted dryer very loud when running, or can I use it early in the morning without waking my partner?","Since the base is mounted right next to the outlets, does it take up valuable counter space where we both need to put our toiletries?",We have dinner reservations to catch—is the wattage on this small unit high enough to dry hair efficiently so we aren't late?,"With a family of four needing to get ready, does this unit tend to overheat and shut off if used back-to-back?","Is the coiled cord long enough to dry a child's hair if they are standing next to me, or do they have to stand directly under the wall mount?","The plastic casing looks lightweight; is it durable enough to handle heavy use by teenagers, or does it feel flimsy?"
image_187_jpg.rf.0f544c0522e09095abbde905d8d987e0.jpg,hairdryer,0.1964432150125503,18.78276824951172,53.331031799316406,643.475830078125,636.804931640625,"Since the body shows ""2400W,"" is this dryer powerful enough to dry thick hair quickly before I head out for meetings?",It looks like a full-sized professional model; is it too heavy or bulky to maneuver easily for a solo styling session?,"Do the separate switches on the handle allow for a ""cool shot"" to set my style, or is it always hot air?","With those multiple control switches, does it offer enough heat and speed variety to suit two people with very different hair types?",Is the cord reinforced at the base long enough so one of us can dry our hair while the other still uses the bathroom sink?,"Since it's a high-power unit, is it loud enough to wake up my partner if I'm getting ready early in the morning?","If four of us need to get ready back-to-back, does the body get too hot to handle or overheat after prolonged use?",Is that hanging loop at the base sturdy enough to keep the dryer off the counter and out of the way when the bathroom is crowded?,"Does the concentrator nozzle stay significantly cool, or is it a burn risk for children if they accidentally touch it?"
image_208_jpg.rf.7f5f7997086cc940882df9a3c38c9c8e.jpg,hairdryer,0.1264452934265136,43.50858688354492,153.9801025390625,477.8877258300781,638.2564697265625,Is the airflow strong enough to dry thick hair quickly despite the dryer's compact wall-mounted size?,Can I use those USB ports on the base unit to charge my phone while I'm getting ready?,Does the coiled cord stretch far enough to let me stand comfortably in front of the mirror?,Is the motor quiet enough that I won't wake my partner if I need to dry my hair early in the morning?,"Since the text mentions voltage safety, does that base unit allow us to plug in our own straightener or curling iron?",Is the drying speed fast enough so we aren't waiting on each other to finish getting ready for dinner?,"With four of us showering back-to-back, does this unit tend to overheat and shut off after prolonged use?",Does the dryer have lower heat settings that are gentle enough for drying young children's hair?,Is the wall mount sturdy enough to handle frequent handling by the whole family throughout the trip?
image_223_jpg.rf.a8468978715313d3034110ecfe3a71be.jpg,hairdryer,0.2926410436630249,104.02711486816406,27.13644027709961,545.8306884765625,638.8361206054688,"Since this is a 2000W dryer, is it powerful enough that I can leave my own hairdryer at home to save space in my carry-on?","Is the coiled cord long enough for me to stand comfortably in front of the mirror, or will I be tethered tightly to the wall mount?","Does the ""Ion"" technology listed on the side actually help with styling, or is this just a basic dryer that might leave my hair frizzy?",Is this wall-mounted unit quiet enough to use early in the morning without waking up my partner sleeping in the next room?,Does the 2000W power allow for very fast drying so we don't hold each other up when getting ready for dinner?,"Since it's mounted to the wall, does it take up a lot of elbow room if we are both trying to use the vanity at the same time?",Will this dryer overheat or shut off automatically if we use it back-to-back to dry the whole family's hair after swimming?,Does the coiled cord stretch far enough to safely dry a child's hair if they aren't tall enough to stand right next to the wall unit?,Is the airflow strong enough to quickly handle multiple people with long hair so we aren't late for our group excursions?
image_182_jpg.rf.3f7a9330c603e926eb91fc8e48ca1fa6.jpg,hairdryer,0.2220486998558044,7.472438812255859,126.13531494140624,632.6736450195312,581.0186157226562,"Since it's labeled ""Pocket dry,"" is the airflow strong enough to dry my hair quickly, or should I bring my own full-sized dryer?","Is the folding handle mechanism sturdy when locked in place, or does it feel flimsy while trying to style hair?",The unit looks very compact; does it offer multiple heat settings or just a?,Is this travel-sized dryer quiet enough to use in the bathroom without waking up my partner sleeping in the main room?,"With the cord wrapped tightly like that, does it extend long enough for one person to dry their hair while the other uses the sink?","Since we both need to get ready for dinner, is this small model powerful enough to cut down drying time so we aren't waiting on each other?",Will this compact dryer overheat or automatically shut off if three or four family members use it back-to-back?,Is the plastic body durable enough to handle being passed around between kids and adults during the morning rush?,"Given it's a ""Pocket"" version, is it practical for a family with long hair, or will getting everyone ready take too long?"
image_121_jpg.rf.c97725f3cda2e24d214b1299a23e3ba6.jpg,hairdryer,0.35145103931427,78.37478637695312,58.93199920654297,549.39111328125,638.6539916992188,"Since this looks like a smaller travel-sized dryer, does it have enough power to dry thick hair quickly, or should I pack my own full-sized one?",I see two buttons on the handle; does this model offer adjustable heat settings so I don't damage my hair while styling?,"Is that matte finish easy to grip, or does the dryer feel heavy to hold if I'm taking my time getting ready?",Is the cord bundled in the basket long enough for us to move around if we are trying to share the mirror space while getting ready?,Does this modern-looking dryer operate quietly so I won't wake my partner if I need to use it early in the morning?,"If we both need to use it back-to-back before a night out, does the unit get too hot to handle or overheat?","With a family of four needing to dry off after swimming, can this compact unit run for 30 minutes straight without shutting down?","Since it is stored in a fabric basket, does the nozzle cool down fast enough for us to pack it away safely after everyone is done?",Do the controls allow for a low-heat or gentle setting that is safe to use on my children's sensitive scalps?
image_212_jpg.rf.513d3d8d3c589989790f5bd712037b9e.jpg,hairdryer,0.1061221286654472,27.05760955810547,32.38670349121094,628.3426513671875,640.2198486328125,"Is the blue dryer powerful enough for a quick morning routine, or is it a low-wattage travel model that takes forever?",Does the room actually include the styling wand shown on the left so I can save luggage space by leaving mine at home?,Is the hairdryer lightweight and easy to handle for someone styling their own hair without assistance?,Is that modern-looking hairdryer quiet enough to use in the morning without waking my partner sleeping in the same room?,"Since there are two hair tools provided, are there enough outlets near the mirror for us to get ready for dinner at the same time?",Does the curling iron on the left heat up quickly so we don't waste time waiting around before our date night?,Is the hairdryer durable enough to handle drying hair for three or four people back-to-back without overheating?,How long are the cords on these devices—do they reach far enough to dry a child's hair if they aren't standing right at the sink?,"With a crowded bathroom, is there a heat-resistant pouch or mat provided to safely set down the hot curling iron?"
image_212_jpg.rf.513d3d8d3c589989790f5bd712037b9e.jpg,hairdryer,0.2478472739458084,280.10028076171875,103.83689880371094,630.3875732421875,621.4309692382812,Does the handle fold at the visible hinge point to save counter space on the vanity?,Is this a high-velocity style dryer that will dry my hair significantly faster than standard hotel wall units?,"Since I see a curling iron next to it, is this provided as a complete styling set for guests?","Is this modern ""hammer-style"" dryer quieter than older models so I won't wake my partner while getting ready?",Is the cord reinforced at the base long enough to reach a mirror if two people are trying to use the bathroom at once?,Does the dryer offer variable heat settings on that handle switch to accommodate different hair types for both of us?,Is the mesh intake on the back safe enough to prevent children's long hair from getting sucked into the motor?,Is this dryer durable enough to handle back-to-back use for a whole family without overheating?,Is the body of the dryer compact enough for kids to hold and use easily on their own?
image_81_jpg.rf.96b8fcb55da1561f40269a4587f5fad4.jpg,hairdryer,0.1145657300949096,29.609642028808597,82.99999237060547,609.0653076171875,646.8658447265625,"Since this is a compact wall-mounted unit, is the airflow strong enough to dry thick hair quickly, or should I pack my own travel dryer?","I see a socket on the mount; can I use that to charge my phone or toothbrush, or is the voltage strictly limited to shavers?","Does the handle have a ""hold-to-run"" button that I have to keep pressed the entire time, or does it stay on by itself?",Is the motor quiet enough that I can dry my hair without waking my partner if they are sleeping in the adjoining room?,Does the coiled cord stretch far enough to let me stand in front of the mirror while my partner uses the sink?,Can the integrated shaver socket be used simultaneously while the hairdryer is running so we can both get ready at once?,"If three or four of us use this back-to-back, does the unit tend to overheat and automatically shut off?","Is the nozzle area safe and cool to the touch after use, so I don't have to worry about the kids burning themselves?","Is this ""Dolphy"" model powerful enough to handle drying hair for a whole family quickly, or will we be waiting on the bathroom for hours?"
image_180_jpg.rf.f203059aebd70a3d03b0a78518772eed.jpg,hairdryer,0.1291121244430542,88.29063415527344,219.1285400390625,561.5563354492188,419.0301513671875,"Is this compact Linka dryer powerful enough to dry my hair quickly, or should I save space in my suitcase and leave my full-sized one at home?","Does the concentrator nozzle stay firmly attached during styling, or does it tend to fall off when the dryer gets hot?",Is the cord long enough to reach the mirror easily once I unwrap it from the body?,Is the motor quiet enough that I can dry my hair without waking my partner if we have different morning schedules?,"Since the dryer folds up so small, does it have variable heat settings that will work for both of our different hair types?",Does the unit cool down quickly so we can put it back in the velvet pouch immediately before checking out?,Can this small dryer handle being used by multiple people back-to-back without overheating and shutting off automatically?,Is the folding hinge sturdy enough to withstand being opened and closed by kids and adults multiple times a day?,Is the drawstring bag large enough to easily stuff the dryer and cord back in to keep the bathroom counter clutter-free for the whole family?
image_24_jpg.rf.32f4a380b1ea6a5e5578cd59b7bcacbf.jpg,hairdryer,0.1013985872268676,346.9708557128906,336.51202392578125,627.1022338867188,640.426025390625,"Since this Clatronic dryer looks quite compact, is it powerful enough to dry thick hair quickly before a business meeting?","Does this small model offer different heat settings, or is it just a standard on/off switch?","The cord is visible, but is it long enough to reach the mirror comfortably if the outlet is far away?",Is this hairdryer quiet enough to use in the bathroom without waking my partner sleeping in the main room?,"Since it looks like a smaller travel unit, will it overheat if we both need to use it back-to-back before dinner?",Does the dryer put out enough airflow to dry hair fast so we aren't fighting for bathroom time?,Can this small hairdryer handle the demand of a family of four using it consecutively without shutting down?,"Is the exterior of the dryer safe and cool to the touch, or does the plastic barrel get hot enough to burn a child's hand?","Given the small size, will it take too long to dry everyone's hair after a trip to the hotel pool?"
image_66_jpg.rf.af050c556c5cd20d9219cdc2b457eca1.jpg,hairdryer,0.1574482172727584,56.8543815612793,41.04860305786133,520.214111328125,635.8487548828125,"Since this TIMCO dryer is wall-mounted, is the cord long enough for me to stand comfortably in front of the mirror while styling my hair?","Does this compact unit actually have enough power to dry thick hair quickly, or should I plan to pack my own travel dryer to save time?","looking at the switch on the handle, does this model offer variable heat settings or just a?",Is this older-style wall unit quiet enough to use in the morning without waking my partner sleeping in the adjacent room?,Does the dryer tend to overheat or shut off if we use it back-to-back when we are both trying to get ready for dinner?,"Since the dryer is fixed to the wall, is it positioned in a spot where one person can dry their hair while the other uses the sink?","With a family of four needing to get ready, is the airflow on this small model strong enough to get everyone dried and out the door quickly?",Is the wall mount installed at a height that is accessible for older children to use safely on their own?,Does the plastic casing get dangerously hot to the touch after prolonged use by multiple family members?
image_17_jpg.rf.b673ad741572ab3396f75b58362cdd14.jpg,hairdryer,0.4457606673240661,81.87567138671875,6.897239685058594,591.38134765625,631.85888671875,Does the concentrator nozzle shown on the front stay securely attached for precise styling?,"Looking at the switches on the handle, does this model offer a ""cool shot"" setting or just high heat?",Is the unit lightweight enough to hold comfortably for a full blow-dry session without arm fatigue?,"Does the ""Turbo"" setting labeled on the handle dry hair fast enough so we aren't fighting over bathroom time?","Since there is a hanging loop on the cord base, is there a hook in the bathroom to keep the counter clear for both our toiletries?",Is the motor quiet enough that I can use it early in the morning without waking up my partner?,Will this dryer overheat or automatically shut off if three or four family members use it back-to-back?,Is the rear mesh grill fine enough to prevent long hair from getting sucked into the motor?,Does the cord look long enough to reach comfortably if I'm drying a child's hair away from the outlet?
