image,label,score,x1,y1,x2,y2,gemini_3_single_q1,gemini_3_single_q2,gemini_3_single_q3,gemini_3_couple_q1,gemini_3_couple_q2,gemini_3_couple_q3,gemini_3_group_q1,gemini_3_group_q2,gemini_3_group_q3
image_148_jpg.rf.6018f9896c314d4407f5c52eb001ddc5.jpg,tv,0.5955065488815308,355.1821594238281,108.24012756347656,457.341796875,179.04931640625,"Since the TV is on a stand rather than wall-mounted, can I easily access the back ports to plug in my laptop or streaming stick?",Is the screen size sufficient for me to comfortably watch a movie from the bed after a long day of travel?,"Does this older-style model still offer sharp picture quality, or does the image look a bit grainy?","Given the TV is positioned in the corner, does the base swivel so we can angle it perfectly toward the bed for a movie night?",Is the screen large enough for two people to watch clearly without having to sit right on the edge of the bed?,"Does the TV have good enough sound quality to fill the room for a romantic evening, or is the audio thin?",Is the TV screen big enough for the whole family to gather around and watch a show together?,Is the television heavy and stable on that low wooden cabinet so it won't tip over if the kids bump into it?,Are the HDMI inputs easy to get to so we can quickly hook up a gaming console to keep the children entertained?
image_154_jpg.rf.952252c3e4295b18c6771be3229509e5.jpg,tv,0.2405219823122024,349.6998596191406,205.1996307373047,412.1100463867188,255.67742919921875,"Since the TV is on a movable arm, can I easily swivel it to face the desk if I want to work while watching the news?",Are the HDMI or USB ports accessible behind that mount so I can plug in my laptop or streaming stick for a solo movie night?,"Is the screen size adequate for viewing from the bed, or does it feel too small given the distance from the wall?",Does the articulating wall mount allow us to angle the TV so we can both watch comfortably from either the bed or the seating area?,Is the screen large enough for two people to enjoy a movie together without straining our eyes?,"Does the TV offer good picture quality and sound for a romantic night in, or is it an older, basic model?",Can the TV be tilted downwards or angled so that kids sitting on the floor or playing in the room can still see the screen clearly?,Is the TV mounted high enough on the wall to be safely out of reach of energetic toddlers running around the room?,Are the inputs on the side of the TV easy to reach to hook up a gaming console to keep the group entertained?
image_29_jpg.rf.4b3ca788de113a88d3a154d9e45c17ed.jpg,tv,0.1620602458715438,177.96409606933594,169.9280242919922,262.63458251953125,242.55438232421875,Is the wall mount adjustable or tilted so I can watch comfortably while lying in bed?,Can I easily access the HDMI ports behind the TV to connect my laptop for work or streaming?,Is this a Smart TV that allows me to cast content from my phone when I'm relaxing alone?,"Since the screen shows some reflections, are there blackout curtains to prevent glare during a daytime movie?",Is the screen size large enough to provide an immersive viewing experience for a romantic movie night?,Does the TV swivel so we can view it clearly whether we are sitting at the table or relaxing on the bed?,Is the TV mounted high enough on the wall to be safely out of reach of toddlers running around?,Is the screen wide enough for the whole family to watch a movie together without crowding into one spot?,Are the side inputs accessible enough to quickly hook up a gaming console to keep the kids entertained?
image_151_jpg.rf.09bab6bbf7ffba6ae5e9a8eba24169ed.jpg,tv,0.102236084640026,159.65553283691406,172.12660217285156,249.1155242919922,261.0980224609375,Is this a smart TV that will let me easily cast Netflix or YouTube from my phone while I relax alone?,Are the HDMI ports on this wall-mounted unit accessible enough for me to plug in my laptop for work or gaming?,"Since the room looks quite bright with that reflection on the screen, is the backlight strong enough to watch TV clearly during the day?","Is the screen large enough to provide an immersive, cinema-like experience for a romantic movie night in?",Does the wall mount swivel or tilt so we can adjust the angle to watch comfortably from either the bed or the seating area?,Can we easily connect a device to play music through the TV speakers to set a mood in the evening?,Is the screen wide enough so that the whole family can watch a movie together without the picture looking washed out from the sides?,Are the inputs easy to reach so we can quickly hook up a game console to keep the kids entertained?,Is the TV mounted high enough above that blue cabinet to keep it safely out of reach of toddlers' hands?
image_237_jpg.rf.8c0eccd8e65bfd01f67b69cc221936a7.jpg,tv,0.1492950171232223,182.8892517089844,236.2112274169922,266.0457763671875,300.6134338378906,"Since the TV is on an easel stand, can I easily swivel it to face the desk if I want to work with background noise?",Are the input ports easily accessible on this model so I can connect my laptop or gaming console?,Is the screen size adequate for an immersive movie experience when relaxing in bed alone?,Does the stylish freestanding mount allow us to adjust the angle so we can both watch comfortably from the bed?,Is this a smart TV that allows us to log into our streaming accounts for a movie date night?,"Since the TV is positioned near the window, does it obstruct the romantic view or the natural light?",Is that tripod-style stand sturdy and stable enough to be safe around active children?,Is the screen wide enough for the whole family to gather around and watch a movie clearly?,Does the floor stand take up significant walking space where we might need to place extra luggage?
image_85_jpg.rf.33bdda71412a80f518a1548cb72a9d54.jpg,tv,0.2820404469966888,332.181396484375,138.79769897460938,450.8896484375,215.37088012695312,"Since the TV sits on a central divider, does it swivel so I can watch the news from the desk while working or turn it to face the bed?",Is the screen high-definition enough to use as a secondary monitor if I connect my laptop for business?,"Is the TV positioned at a comfortable height for lying in bed, or will I have to crane my neck to see it?",Is the screen size large enough for us to comfortably watch a movie together from the bed without squinting?,Does the wood frame around the TV allow it to rotate so we can change the viewing angle depending on where we are sitting?,"Is the sound quality good enough for a movie night, or should we bring a portable speaker?",Can the TV turn to face the seating area so the kids can watch cartoons while the adults relax in the bed area?,Are the HDMI ports on the side of the TV easy to reach so we can plug in a gaming console?,Is the TV stand sturdy and stable enough that we don't need to worry about children bumping into it?
image_196_jpg.rf.6055f05a4da78678fe06bac48f547d95.jpg,tv,0.1396544426679611,1.3562870025634766,62.78894805908203,155.4281463623047,222.789794921875,Is the screen size adequate for a clear view while relaxing in bed after a long day of travel?,Are the HDMI or USB ports easily accessible on the side of this wall-mounted unit so I can connect my laptop?,Does the TV offer smart features or casting capabilities so I can stream my own content instead of relying on cable?,Is the screen large enough for two people to comfortably enjoy a movie night together from across the room?,Does the wall mount allow the TV to swivel so we can adjust the viewing angle to face a seating area?,Is the TV positioned centrally in the room so neither of us has an obstructed view while lying in bed?,Is that small shelf under the TV sturdy and spacious enough to hold a gaming console for the kids?,Is the TV mounted high enough on the wall to be safely out of reach of curious toddlers?,Is the screen big enough for the whole family to gather around and watch a show clearly without squinting?
image_87_jpg.rf.277d1b0002a58494e51ecaf7289c6ec0.jpg,tv,0.2969913184642792,0.0380373001098632,3.50830078125,102.64842987060548,193.34886169433597,"Since the TV is wall-mounted so flush, are the side ports easily accessible for plugging in my laptop or gaming device?",Does the mount allow the screen to swivel so I can adjust the viewing angle towards the bed or desk?,The silver frame looks a bit thick; is this a modern smart TV that allows me to cast apps from my phone?,Does the wall sconce light right next to the TV create a distracting glare on that glossy screen during a movie night?,Is the screen size large enough to provide an immersive cinema-like experience for a romantic evening in?,Can the TV angle be tilted downward so we can watch comfortably while lying down in bed together?,Is the screen wide enough so that everyone sitting in different parts of the room has a clear view?,Is the TV mounted high enough on the wall to be safely out of reach of small children running around?,"Since the TV is up high, are there accessible inputs lower down so the kids can easily plug in their game console?"
image_233_jpg.rf.bd22740552256cddbbffe841d03f3aff.jpg,tv,0.1172767877578735,509.1500549316406,88.76148986816406,579.042236328125,215.9533843994141,Does the TV mount swivel so I can adjust the viewing angle to watch comfortably from either the desk or the bed?,Are the HDMI inputs easily accessible on the side of this unit so I can connect my laptop for work or streaming?,"Is the screen size adequate for a solo movie night, or is it a bit small for the distance from the bed?",Is the TV positioned well enough that both of us can see the screen clearly while lying in bed together?,Does the TV support casting or have smart apps so we can log in and watch our favorite shows for a romantic night in?,Is the volume quality clear enough to hear dialogue without having to turn it up too loud and disturb neighbors?,Is the screen large enough for the whole family to gather around and watch a movie comfortably?,Is the TV mounted securely and high enough to be out of reach of small children playing in the room?,Are there easy-to-reach ports to hook up a gaming console to keep the kids entertained during downtime?
image_233_jpg.rf.bd22740552256cddbbffe841d03f3aff.jpg,tv,0.1012182086706161,415.6062622070313,126.31320190429688,442.9071350097656,179.13363647460938,"Since the TV is mounted on the wall, is the angle adjustable for comfortable viewing from the bed?",Does this unit have accessible HDMI or USB ports so I can connect my laptop for a solo movie night?,The screen appears to be a smaller model; is the size sufficient for watching comfortably from a distance?,Does the wall mount allow the TV to swivel so we can both see the screen clearly without craning our necks?,Is the picture quality and sound good enough for us to enjoy a movie night together in the room?,Is the TV positioned in a way that the light won't disturb my partner if I want to watch something late at night?,Is the screen large enough for the whole family to watch together from different parts of the room?,"Since the TV is wall-mounted, is it high enough to be safely out of reach of curious toddlers?","Can the screen be viewed clearly from the sleeper sofa or extra beds, or is the viewing angle limited?"
image_122_jpg.rf.16fd6c56315c68564048d6a5f323e035.jpg,tv,0.1276562660932541,-0.205078125,194.64602661132807,60.29151916503906,299.626708984375,Can I easily access the HDMI ports on the side of the TV to connect my laptop for work or personal streaming?,"Does the TV interface offer smart apps and casting, or am I limited to basic cable channels during my downtime?",Is the screen size adequate for a clear viewing experience if I'm watching from the bed after a long day?,Does the TV swivel on that base stand so we can adjust the angle to face the bed or the seating area?,Is the screen large enough for two people to comfortably watch a movie together without squinting?,"Is the audio quality clear enough for a movie night in, or will we struggle to hear dialogue over the room's AC?",Are the input ports accessible for plugging in a gaming console to keep the kids entertained?,Does the screen have good viewing angles so family members sitting on the floor or side chairs can still see the picture clearly?,Is the TV stable on that dresser stand to ensure it won't easily tip over with children moving around the room?
image_122_jpg.rf.16fd6c56315c68564048d6a5f323e035.jpg,tv,0.4542644321918487,-0.7332634925842285,194.4134521484375,58.43484878540039,300.91461181640625,Is the screen sharp and clear enough for me to unwind with a movie after a long day of traveling alone?,I see a device underneath the TV; are the HDMI ports accessible if I want to connect my laptop to get some work done?,"Is the TV positioned close enough to the bed for comfortable viewing, or is it too small to see clearly from a distance?","Since the TV is on a stand, does it swivel so we can adjust the angle to watch together from the bed or the seating area?","Is the screen size large enough for a cozy movie night in the room, or is it on the smaller side?",Does the extra box below the television include a DVD player or smart casting features so we can play our own romantic playlists or shows?,Is the television large enough for the whole family to gather around and watch a show comfortably?,"With the device on the shelf, is there an easy way to plug in a gaming console to keep the kids entertained during downtime?",Is the volume output sufficient for a room full of people to hear clearly without distortion?
image_58_jpg.rf.3a6a7eb9f34fed24dd37fe36aa95a72c.jpg,tv,0.2940194308757782,247.36099243164065,183.4774475097656,373.193359375,279.3821105957031,"Is the TV mounted at a comfortable height for watching while lying in bed, or will I be straining my neck?",Can I easily access the HDMI ports on the side to connect my laptop for work or personal entertainment?,Is the screen size adequate for a solo movie night to unwind after a long day of travel?,Is the screen large enough for both of us to watch a movie comfortably from the bed?,Does the wall mount tilt or swivel so we can adjust the angle depending on where we are sitting?,"Is the picture quality crisp enough to make a ""stay-in"" date night enjoyable?",Is the TV mounted high enough on the wall to stay safely out of reach of energetic toddlers?,Is the screen big enough for the whole family to see clearly if we are all watching a show together?,Are the inputs accessible enough to quickly plug in a game console to keep the kids entertained?
image_43_jpg.rf.4eadd68de3251a1f4b19bb974930fbad.jpg,tv,0.2041690647602081,503.6900329589844,89.65167236328125,634.7115478515625,314.46783447265625,"Since the desk is right next to the wall mount, can I easily swivel the TV to watch while I'm working or eating?",Does this TV offer easy access to HDMI ports on the side so I can connect my laptop for streaming?,Is the screen size large enough for an immersive movie experience when I'm unwinding alone in the evening?,Is the screen wide enough for both of us to see clearly if we are watching a movie from the bed?,Does the wall mount tilt or rotate so we can adjust the viewing angle to reduce glare?,Is the picture quality crisp enough for a high-definition date night movie in the room?,Is the TV mounted high enough on the wall to be safe from toddlers running around near the dresser?,Can the screen be seen easily from multiple spots in the room so the whole family can watch together?,Are the input ports accessible enough to quickly plug in a gaming console for the kids?
image_44_jpg.rf.c7b513467efa196ee5d37801c65ede91.jpg,tv,0.2092042118310928,43.6797103881836,56.78409576416016,126.8283233642578,181.41134643554688,"Since the TV is mounted high on the wall, can I easily tilt it downward to watch comfortably while lying in bed?",Are the HDMI ports accessible behind that mount so I can plug in my laptop for work or streaming?,Is the screen distinct and sharp enough for a good solo movie experience after a long day of travel?,Does that articulating mount allow the TV to swivel so we can both see the screen from different spots in the room?,"Is the screen large enough for a movie night for two, or does it look smaller in person?",Does the TV offer easy casting options so we can share photos or videos from our phones onto the big screen?,Is the TV big enough for the whole family to gather around and watch clearly from the back of the room?,"Since it is mounted high up on that panel, is it safely out of reach for curious toddlers?",Is there enough space behind the screen to hook up a gaming console to keep the kids entertained?
image_230_jpg.rf.2a8785e831a23eb73f26c2262430f002.jpg,tv,0.1067160740494728,581.6546020507812,31.344186782836918,640.5578002929688,253.4893798828125,Are the HDMI ports on the side of this slim TV easily accessible for connecting my laptop for work?,Does this wall-mounted screen offer casting capabilities so I can stream my own shows while unwinding alone?,Is the screen positioned at a comfortable angle for viewing if I'm sitting at the desk underneath it?,Is the TV mounted on a swivel arm so we can adjust it to watch a movie comfortably together in bed?,Is the screen size large enough to provide an immersive cinema-like experience for our night in?,Does the picture quality look sharp and modern enough for enjoying high-definition entertainment together?,Is the TV mounted high enough on the wall to be safely out of reach of energetic toddlers?,Is the screen wide enough for everyone in the family to see clearly from different spots in the room?,Is there enough space on the wooden console below to hook up a gaming system for the kids?
image_155_jpg.rf.d1017bc81ff4deb4430b9e1300148ee7.jpg,tv,0.476006418466568,28.364891052246094,196.75608825683597,111.6103515625,246.26080322265625,Is the TV positioned close enough to the bed or desk so I can comfortably watch it while relaxing or working?,Are the HDMI ports on the side or back easily accessible for connecting my laptop or gaming console?,"Is the screen size sufficient for a solo movie night, or is it on the smaller side?",Can the TV rotate on its stand so we can adjust the angle to watch from either the seating area or the bed?,Is the screen large enough for two people to enjoy a movie together without straining our eyes?,Does the TV offer high-definition quality for a crisp picture during a cozy night in?,"Is the TV securely balanced on that stand, or is there a risk of it tipping over if children bump the furniture?",Is the screen wide enough for everyone in the family to view clearly from different parts of the room?,Does the screen have a wide viewing angle so people sitting off to the side don't see a distorted picture?
image_155_jpg.rf.d1017bc81ff4deb4430b9e1300148ee7.jpg,tv,0.1596156954765319,304.5042724609375,240.49722290039065,355.0478820800781,275.28192138671875,That screen looks quite compact with a thick frame; is it large enough for me to comfortably watch the news while unwinding in bed?,"Does the wall mount allow the screen to tilt, or is the viewing angle fixed which might make it hard to see if I'm not standing right in front of it?","Can I easily access the ports on the side or back of that unit to connect my laptop, or is it mounted flush against the wall?","Since the TV appears to be an older, smaller model, are the viewing angles wide enough for both of us to see clearly from the bed?","Is that pink object in the foreground permanently placed there, or can we move it so it doesn't block our view during a movie night?","Does this television offer good enough picture quality for a romantic movie, or is it strictly for basic background noise?",Is the screen size sufficient for the whole family to watch a show together without everyone having to crowd into that one corner of the room?,Is the TV mounted high enough on the wall to be safely out of reach of toddlers running around near the radiator?,Does this older-style unit have the compatible inputs we need to hook up a gaming console to keep the kids entertained?
image_119_jpg.rf.0bb8c849e64ec8f0e0e231c29e9448fc.jpg,tv,0.2422392666339874,76.53881072998047,90.63221740722656,177.733642578125,178.6830291748047,"Since the TV is mounted flush against that wooden panel, are the HDMI ports easy to reach so I can connect my laptop for work or streaming?",Is the screen size adequate for a good viewing experience if I'm watching from the bed on the opposite side of the room?,Does this modern-looking TV offer smart casting features so I can easily play my own music or videos while relaxing alone?,"Does the wall mount on the wood panel allow the TV to swivel, so we can both watch comfortably whether we're in bed or sitting at a table?",Is the screen large and high-quality enough for a cinematic movie night date in the room?,Are there accessible inputs on the side to plug in a device so we can look through our vacation photos together on the big screen?,Is the TV mounted high enough on the wall to keep it safely out of reach of small children running around the room?,"Is the screen wide enough to provide good viewing angles for the whole family, even for those sitting on a pull-out sofa or the floor?",Are the volume and picture quality strong enough to entertain a group of us without everyone having to crowd around the bed?
image_32_jpg.rf.f92a383816d5222a36cfc6e5274e4a52.jpg,tv,0.5482564568519592,158.01275634765625,195.3813934326172,241.14488220214844,247.20350646972656,"Since the TV is mounted flush to the wall, is it easy to access the side or back ports to connect my laptop or gaming device?",Is the screen resolution high quality enough for me to enjoy a movie while unwinding alone in the room?,Does the downward tilt of the mount make it comfortable to watch TV while lying down in bed?,Is the screen large enough to provide a theatre-like experience for a romantic movie night in the room?,Do the wall sconces on either side create any glare on the screen that would ruin the picture quality?,"Since the TV is positioned above the fireplace mantel, is the viewing angle comfortable for two people watching together from the bed?","Is the screen wide enough so that everyone in the family can see clearly, even if they are sitting on the edges of the room?",Does the high mounting position ensure that the view isn't blocked if people are walking around or standing in front of it?,Is the TV size substantial enough to entertain a whole group without everyone having to crowd around a small screen?
